Unnamed: 0,cmtFileName,Number of Nodes,Number of Trucks,Coarsening Rate,Run Number,Solution Cost,Relative Cost,Solve Time,Real number of trucks,qpu_access_time,run_time
89,CMT11.xml,121,7,0.3,2,3492.140785612556,3.3509968003805284,36.41479301452637,11,42.647,3450.121
90,CMT12.xml,101,10,1.0,0,5770.962375615749,7.041537380564876,294.6184756755829,14,213.247,39981.861
91,CMT12.xml,101,10,0.9,0,5289.60243256914,6.454197902007345,277.48862409591675,14,170.592,29398.218
92,CMT12.xml,101,10,0.7,0,4365.100847522498,5.326151651523376,105.78703474998474,13,85.347,13381.72
93,CMT12.xml,101,10,0.5,0,3325.0322806756403,4.057094392937235,47.87073278427124,13,85.349,6140.977
94,CMT12.xml,101,10,0.3,0,2079.1644408520306,2.536927669544671,23.576242208480835,13,42.679,3001.136
95,CMT12.xml,101,10,1.0,1,5770.962375615749,7.041537380564876,304.87889194488525,14,213.247,39994.14
96,CMT12.xml,101,10,1.0,2,5770.962375615749,7.041537380564876,303.4755640029907,14,213.246,39983.507
97,CMT12.xml,101,10,0.9,1,5289.60243256914,6.454197902007345,218.22589945793152,15,170.591,29411.924
98,CMT12.xml,101,10,0.9,2,5289.60243256914,6.454197902007345,220.5051567554474,13,170.599,29433.124
99,CMT12.xml,101,10,0.7,1,4365.100847522498,5.326151651523376,110.51731705665588,14,85.347,13362.135
100,CMT12.xml,101,10,0.7,2,4365.100847522498,5.326151651523376,110.3072907924652,12,85.348,12714.341
101,CMT12.xml,101,10,0.5,1,3325.0322806756403,4.057094392937235,52.29688048362732,14,85.354,6133.631
102,CMT12.xml,101,10,0.5,2,3325.0322806756403,4.057094392937235,52.10445809364319,14,85.351,6131.125
103,CMT12.xml,101,10,0.3,1,2079.1644408520306,2.536927669544671,25.552151441574097,13,42.673,2993.9
104,CMT12.xml,101,10,0.3,2,2079.1644408520306,2.536927669544671,27.36112356185913,14,42.673,2999.726
